id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
12951,CT,Zero Emission Transit Bus Acquisition Requirement,"Beginning January 1, 2024, the state may not procure, purchase, or lease
diesel transit buses. At least 30% of transit buses purchased or leased
by the state must be zero-emission by January 1, 2030. The Commissioner
of Administrative Services must study and identify barriers to
implementing zero-emission buses state-wide and submit a report of the
results to the General Assembly by January 1, 2024.

(Reference [Senate Bill 4, 2022](https://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>Senate Bill 4, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12952,CT,Zero Emission Vehicle (ZEV) Study and Procurement,"The Connecticut Department of Administrative Services (DAS) and the
Connecticut Department of Transportation must study the feasibility and
cost savings of creating and implementing a bid process for the bulk
procurement of light-, medium-, and heavy-duty electric vehicles,
hydrogen fuel cell electric vehicles, and zero emission buses. DAS must
publish the study results by January 1, 2024.

(Reference [Senate Bill 4, 2022](https://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>Senate Bill 4, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12953,CT,Electric Vehicle (EV) Charging Station Policies for Condominiums,"Beginning October 1, 2022, condominium associations may not prohibit or
restrict the installation or use of EV charging stations. These entities
may put reasonable restrictions on EV charging stations, but the
policies may not discourage or add obstacles to the use of EV charging
stations. The EV charging station installer must obtain appropriate
approvals from the common interest development association, comply with
applicable architectural standards, engage a licensed installation
contractor, provide a certificate of insurance, register the EV charging
station with the association, meet health and building standards, and
pay for the electricity usage, maintenance, and other costs associated
with the EV charging station until it is removed by the homeowner.

(Reference [Senate Bill 4, 2022](https://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>Senate Bill 4, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12954,CT,Electric Vehicle (EV) Charging Station Policies for Rental Properties,"Landlords must approve a tenant's written request to install an EV
charging station in their designated parking space. This requirement
takes effect at different times based on the number of units a landlord
owns, according to the following schedule:

  Number of Units Owned              Effective Date
  ---------------------------------- -----------------
  250 or more                        October 1, 2022
  At least 50 but no more than 250   October 1, 2023
  Less than 50                       October 1, 2024

All modifications and improvements must comply with federal, state, and
local laws and all applicable zoning and land use requirements,
covenants, conditions, and restrictions. The EV charging station
installer is responsible for the cost of the installation, maintenance,
repair, removal, or replacement of the equipment; electricity
consumption; and any resulting damage to the EV charging station or
surrounding area. The EV charging station must be designated as a
fixture of the rental property if not removed upon the termination of
the lease. Additional terms, conditions, or exclusions may apply.

(Reference [Senate Bill 4, 2022](https://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>Senate Bill 4, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12955,CT,Mandatory Electric Vehicle (EV) Charging Station Building Standards,"Beginning January 1, 2023, new state buildings with project costs
greater than \$100,000 must install Level 2 EV charging stations at a
minimum of 20% of light-duty vehicle (LDV) parking spaces. New
commercial or multi-unit dwelling buildings with at least 30 LDV parking
spaces must be capable of supporting Level 2 or direct current fast
charging (DCFC) stations at 10% of such spaces.

(Reference [Senate Bill 4, 2022](https://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>Senate Bill 4, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12956,CT,Electric Vehicle (EV) Charging Station Policies at State Agencies,"Beginning October 1, 2022, an individual may not park a motor vehicle in
a state agency parking space equipped with an EV charging station unless
the vehicle is an EV. EVs may not charge longer than the maximum time
limit set by each state agency. State agencies must assess and collect
fees from public and employee users to recover EV charging station
installation costs unless users are charging a state-owned EV.

(Reference [House Bill 5506, 2022](https://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>House Bill 5506, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12968,CT,Hydrogen and Electric Vehicle (EV) Rebate Program,"The Connecticut Department of Energy and Environmental Protection (DEEP)
must further develop the [Connecticut Hydrogen and Electric Automobile
Purchase Rebate](https://afdc.energy.gov/laws/11609) (CHEAPR) program
by:

-   Establishing an Advisory Board of various government and industry
    members to direct the allocation of CHEAPR funds;
-   Providing at least 3 million dollars of rebates and vouchers to
    residents for the purchase or lease of new or pre-owned EV or fuel
    cell electric vehicle annually;
-   Prioritizing the allocation of funds to residents of environmental
    justice communities;
-   Beginning on June 20, 2024, reporting annually on the effectives of
    the program; and,
-   Conducting outreach programs and marketing campaigns for the
    promotion of the program.

(Reference [Senate Bill 4, 2022](https://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>Senate Bill 4, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12980,ME,Electric Vehicle (EV) Deployment and Fleet Acquisition Goals,"The Maine Central Fleet Management Division and the Department of Public
Safety must meet the following light-duty vehicle (LDV) fleet
acquisition goals:

-   By 2025, 50% of state fleet LDV acquisitions are zero emission
    vehicles (ZEVs) and plug-in hybrid electric vehicles (PHEVs); and,
-   By 2030, 100% of state fleet LDV acquisitions are ZEVs and PHEVs

The state also established a goal of increasing statewide EV and PHEV
registrations to 220,000 by 2030, and encourages county and municipal
fleets to increase ZEV and PHEV purchases to 100% of all new LDV
acquisitions by 2035.

(Reference [Senate Bill 1579, 2022](https://legislature.maine.gov/) and [Title 5, Section 1830; Title 30-A, Sections 125, 311; and, Title 35-A, Section 10103](http://www.mainelegislature.org/legis/statutes/))",ELEC,"<a href = 'https://legislature.maine.gov/' target = '_blank'>Senate Bill 1579, 2022</a>","<a href = 'http://www.mainelegislature.org/legis/statutes/' target = '_blank'>Title 5, Section 1830; Title 30-A, Sections 125, 311; and, Title 35-A, Section 10103</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12981,ME,Zero Emission School Bus Acquisition and Working Group,"Beginning in 2035, 75% of school bus acquisitions must be zero emission
school buses. The Office of Policy Innovation and the Future will
convene a working group to:

-   Review different types of zero emission school buses and the
    benefits and challenges associated with each technology;
-   Analyze financing options for the acquisition of zero emission
    school buses;
-   Engage electric utilities and other private entities that are
    interested in partnering with school administrators to acquire zero
    emission school buses;
-   Plan for the deployment of charging infrastructure to support zero
    emission school buses; and,
-   Assess training and education options for zero emission school bus
    use and maintenance.
-   The working group must report their findings in a plan to the Maine
    Joint Standing Committee on Transportation by December 7, 2022.

The Maine Board of Education may obtain loans or enter into a
lease-purchase agreement to acquire zero emission school buses. The term
of the loan or lease purchase may be up to 15 years.

(Reference [Senate Bill 1579, 2022](http://www.mainelegislature.org/legis/statutes/) and [Maine Revised Statutes Title 35-A, Section 5401 and Section 10104 ](http://www.mainelegislature.org/legis/statutes/))",ELEC,"<a href = 'http://www.mainelegislature.org/legis/statutes/' target = '_blank'>Senate Bill 1579, 2022</a>","<a href = 'http://www.mainelegislature.org/legis/statutes/' target = '_blank'>Maine Revised Statutes Title 35-A, Section 5401 and Section 10104 </a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12982,IL,Electric Vehicle (EV) Permitting Support,"The Illinois Environmental Protection Agency must convene an EV
Permitting Task Force (Task Force) to examine the following:

-   Existing or potential challenges related to EV permitting;
-   State EV permitting fees and revenue generated from those fees;
-   Permitting needs of EV, EV charging station, and EV component parts
    manufacturers;
-   Recommendations to expedite permitting related to EVs;
-   Recommendations for the fee structure of permits related to EVs;
-   Impacts that state and local permitting processes have on the EV
    charging station deployments; and,
-   Legislative and regulatory actions that can support the EV industry
    and charging station deployment.

The Task Force must publish a report of their findings by August 1,
2022.

(Reference [Reference Public Act 102-0996](https://www.ilga.gov/legislation/publicacts/default.asp))",ELEC,<a href = 'https://www.ilga.gov/legislation/publicacts/default.asp' target = '_blank'>Reference Public Act 102-0996</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12983,LA,Alternative Fuel Access Policies for Local Governments,"Local governments may not adopt an ordinance, rule, or law that limits
consumer access to alternative transportation fuels including biofuel,
compressed natural gas, electricity, hydrogen, propane, and renewable
diesel.

(Reference [Senate Bill 354, 2022](https://legis.la.gov/legis/home.aspx) and [Louisiana Revised Statutes 49:3051](http://www.legis.state.la.us/))",ELEC,"<a href = 'https://legis.la.gov/legis/home.aspx' target = '_blank'>Senate Bill 354, 2022</a>",<a href = 'http://www.legis.state.la.us/' target = '_blank'>Louisiana Revised Statutes 49:3051</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12984,LA,Electric Vehicle (EV) Charging Station Promotion,"The state must support the development of a statewide EV charging
network by:

-   Improving the quality, quantity, and variety of EV charging station
    infrastructure;
-   Improving consumer experience at EV charging stations across the
    state;
-   Encouraging the Louisiana Public Service Commission (LPSC) to
    establish an EV charging station rate structure for public direct
    current fast charging (DCFC) stations that increases price
    transparency and stabilizes electricity costs; and,
-   Encouraging the LPSC to deregulate EV charging stations.

(Reference [Senate Bill 460, 2022](https://legis.la.gov/legis/home.aspx) and [Louisiana Revised Statutes 15:1621 and 15:1623](http://www.legis.state.la.us/))",ELEC,"<a href = 'https://legis.la.gov/legis/home.aspx' target = '_blank'>Senate Bill 460, 2022</a>",<a href = 'http://www.legis.state.la.us/' target = '_blank'>Louisiana Revised Statutes 15:1621 and 15:1623</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12990,AL,Electric Vehicle (EV) Charging Station Financing Program Authorization,"The Alabama Department of Economic and Community Affairs (ADECA)
administers the Commercial Property Assessed Clean Energy (C-PACE)
program. Under C-PACE, a county, municipality, or improvement district
may issue bonds, notes, or other types of financing methods to support
energy efficiency or storm resilience improvements to commercial
properties, including the installation of EV charging stations. For more
information, see the ADECA [Property Insurance and Energy Reduction
Act](https://adeca.alabama.gov/pier/) website and the [C-PACE Program
Report](https://adeca.alabama.gov/wp-content/uploads/Alabama-C-PACE-Considerations-Final.pdf).

(Reference [Code of Alabama 11-81-240 through 11-81-250](http://alisondb.legislature.state.al.us/acas/ACASLoginfire.asp))",ELEC,<a href = 'http://alisondb.legislature.state.al.us/acas/ACASLoginfire.asp' target = '_blank'>Code of Alabama 11-81-240 through 11-81-250</a>,"<a href = 'https://adeca.alabama.gov/wp-content/uploads/Act-2015-494-PACE-PIERA.pdf' target = '_blank'>Senate Bill 220, 2015</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12991,CO,Industrial and Manufacturing Operations Emissions Reduction Grant,"The Colorado Energy Office (CEO) will administer the Industrial and
Manufacturing Operations Clean Air Grant Program (Program), which funds
projects that reduce emissions from industrial and manufacturing
operations, including transportation electrification and hydrogen
projects. Eligible applicants include private entities, local and tribal
governments, and public-private partnerships. Projects located in
underserved communities or [areas in
nonattainment](https://www3.epa.gov/airquality/greenbook/ancl.html) with
the National Ambient Air Quality Standards may receive priority
consideration. Additional terms and conditions apply.

(Reference [Colorado Senate Bill 193, 2022](https://leg.colorado.gov/bills))",ELEC,"<a href = 'https://leg.colorado.gov/bills' target = '_blank'>Colorado Senate Bill 193, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12993,CO,Electric School Bus Grant,"The Colorado Department of Public Health and Environment (CDPHE) will
administer the Electrifying School Buses Grant Program (Program), which
provides funds to schools for the purchase of electric school buses and
associated charging infrastructure. Eligible projects include the
purchase and maintenance of electric school buses; the conversion of
fossil-fuel powered school buses to electric buses; the purchase and
installation of charging infrastructure; and electrical upgrades to
support associated charging infrastructure. Eligible applicants include
public school districts, charter schools, schools operated by tribal
governments, and nonprofit partners acting on behalf of a school
district or charter school. Schools located in underserved communities
or [areas in
nonattainment](https://www3.epa.gov/airquality/greenbook/ancl.html) with
the National Ambient Air Quality Standards may receive priority
consideration. Additional terms and conditions apply.

(Reference [Colorado Senate Bill 193, 2022](https://leg.colorado.gov/bills))",ELEC,"<a href = 'https://leg.colorado.gov/bills' target = '_blank'>Colorado Senate Bill 193, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12999,US,Bus and Bus Facilities Grants,"The U.S. Department of Transportation's Federal Transit Administration
(FTA) administers the Grants for Buses and Bus Facilities Competitive
Program. Eligible applicants include state, local, and tribal
governments, fixed-route bus operators, and private nonprofit
organizations engaged in public transportation. Funds may be used to
replace, rehabilitate, and purchase buses, vans, and related equipment,
and to construct associated bus facilities. The Bus and Bus Facilities
Program is a competitive grant program. For more information, including
funding availability and timelines, see the FTA [Bus and Bus
Facilities](https://www.transit.dot.gov/bus-program) website.

(Reference [Public Laws 117-58, 113-159, and 114-94](https://www.congress.gov/public-laws/117th-congress) and [49 U.S. Code 5312 and 5339](https://www.govinfo.gov/))",ELEC,"<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Laws 117-58, 113-159, and 114-94</a>",<a href = 'https://www.govinfo.gov/' target = '_blank'>49 U.S. Code 5312 and 5339</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13005,AK,Energy and Resilience Project Support ,"Municipalities may establish energy and resilience improvement
assessment programs to finance energy and resilience improvement
projects. Eligible projects include construction, installation, or
modification of electric vehicle charging stations in building
renovations, new construction, or existing commercial and industrial
properties.

(Reference [House Bill 227, 2022](https://www.akleg.gov/basis/aac.asp) and [Alaska Statutes 29.55.100](https://www.akleg.gov/basis/aac.asp))",ELEC,"<a href = 'https://www.akleg.gov/basis/aac.asp' target = '_blank'>House Bill 227, 2022</a>",<a href = 'https://www.akleg.gov/basis/aac.asp' target = '_blank'>Alaska Statutes 29.55.100</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13006,DE,Electric Vehicle (EV) Charging Station Local Permitting Policies ,"By July 1, 2023, municipalities with populations of more than 30,000
people must adopt an ordinance that establishes a permitting procedure
for the installation of curbside residential EV charging stations. The
ordinance must

-   Require EV charging station installation is completed by a licensed
    electrician;
-   Require the written permission of the owner of the property on which
    the EV charging station will be installed;
-   Establish reasonable restrictions on the type of EV charging
    stations that may be installed;
-   Provide that the municipality must approve or deny a permit within
    90 days of receipt of a permit application; and,\
-   Provide that an EV charging station may not affect a proposed State
    right-of-way or easement area without approval by the Department of
    Transportation.

(Reference [ Senate Bill 187, 2022](https://legis.delaware.gov/) and [Delaware Administrative Code Title 22, Chapter 1, Section 119](https://delcode.delaware.gov/index.html))",ELEC,"<a href = 'https://legis.delaware.gov/' target = '_blank'> Senate Bill 187, 2022</a>","<a href = 'https://delcode.delaware.gov/index.html' target = '_blank'>Delaware Administrative Code Title 22, Chapter 1, Section 119</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13013,CO,Electric Vehicle (EV) Charging Station Building Standards,"The Colorado Energy Code Board (Board) must develop a model EV-ready
building code for counties, municipalities, and state agencies by June
1, 2023. Members of the Board are appointed by the Director of the
Colorado Energy Office. The Board must include the following elements in
the model building code:

-   EV-ready and EV-capable requirements for commercial and residential
    buildings;
-   EV-ready, EV-capable, and EV charging station installation
    requirements for 20% or more parking spaces at multifamily and
    commercial buildings;
-   Pre-wiring requirements for single-family residential buildings,
    multifamily, and commercial buildings

Building codes must consider the cost-effectiveness of pre-wiring for EV
charging stations. At a minimum, EV ready parking spaces must have
electrical panel capacity, raceway wiring, a receptacle, and a circuit
overprotection devise to support an EV charging station with a minimum
capacity of 208V.

(Reference [Reference House Bill 1362, 2022](https://leg.colorado.gov/bills))",ELEC,"<a href = 'https://leg.colorado.gov/bills' target = '_blank'>Reference House Bill 1362, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13014,CO,Public Transit Electrification Incentive Authorization ,"The Colorado Department of Transportation (CDOT) is authorized to issue
grants, loans, and rebates through the Clean Transit Enterprise
(Enterprise), a government-owned business, to support public transit
electrification planning, facility upgrades, fleet vehicle replacement,
and construction of electric vehicle charging infrastructure. The
Enterprise may impose a fee to raise funds for financing programs. For
more information, see the CDOT
[Enterprise](https://www.codot.gov/programs/innovativemobility/cte)
website.

(Reference [Colorado Revised Statutes 42-4-1203](http://www.lexisnexis.com/hottopics/Colorado/))",ELEC,<a href = 'http://www.lexisnexis.com/hottopics/Colorado/' target = '_blank'>Colorado Revised Statutes 42-4-1203</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13015,CO,Fleet Alternative Fuel Vehicle Incentive Authorization ,"The Colorado Department of Public Health and Environment (CDPHE) is
authorized to issue grants, loans, and rebates through the Clean Fleet
Enterprise (Enterprise), a government-owned business, to business and
government entities for the replacement of light-, medium-, and
heavy-duty fleet vehicles with clean vehicles. Eligible projects include
electric, hydrogen, and renewable natural gas vehicles as well as idle
reduction technology. The Enterprise may impose fees to raise funds for
financing programs. For more information, see the CDPHE
[Enterprise](https://cdphe.colorado.gov/clean-fleet-enterprise) website.

(Reference [Colorado Revised Statutes 25-7.5-103](https://leg.colorado.gov/bills))",ELEC,<a href = 'https://leg.colorado.gov/bills' target = '_blank'>Colorado Revised Statutes 25-7.5-103</a>,"<a href = 'https://leg.colorado.gov/bills' target = '_blank'>Senate Bill 260, 2021</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13018,AZ,Public Utility Definition,"A company that sells electricity for the purpose of electric vehicle
charging is not considered a public service corporation. Companies may
charge a flat or time-based fee for this electricity.

(Reference [House Bill 2586, 2022](https://www.azleg.gov/bills/))",ELEC,"<a href = 'https://www.azleg.gov/bills/' target = '_blank'>House Bill 2586, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13019,AZ,School Transportation Advisory Council,"The Student Transportation Advisory Council must advise the Arizona
Department of Administration on increasing public safety, transportation
efficiencies, and transportation options related to modernizing and
innovating K-12 student transportation. Recommendations may include
electric transportation and charging infrastructure.

(Reference [Arizona Revised Statutes 28-900 and 28-3053](https://www.azleg.gov/arstitle/) and [Senate Bill 1630, 2022](https://www.azleg.gov/bills/))",ELEC,<a href = 'https://www.azleg.gov/arstitle/' target = '_blank'>Arizona Revised Statutes 28-900 and 28-3053</a>,"<a href = 'https://www.azleg.gov/bills/' target = '_blank'>Senate Bill 1630, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13020,AZ,Electric School Bus Purchase Authorization ,"School districts may establish contracts for vehicles and other
transportation services as an alternative to maintaining and operating a
transportation program. A school district may select a pre-approved or
private contractor that:

-   Provides electric school buses, electric school bus infrastructure,
    charging and charging management services, or electric school bus
    services; and,
-   Is approved by the Arizona School Bus Advisory Council.

(Reference [Arizona Revised Statutes 15-923 and 28-3053](https://www.azleg.gov/arstitle/) and [Senate Bill 1246, 2022](https://www.azleg.gov/bills/))",ELEC,<a href = 'https://www.azleg.gov/arstitle/' target = '_blank'>Arizona Revised Statutes 15-923 and 28-3053</a>,"<a href = 'https://www.azleg.gov/bills/' target = '_blank'>Senate Bill 1246, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13022,NJ,Electric School Bus Program,"The New Jersey Department of Environmental Protection (DEP) must
implement an Electric School Bus program to determine the reliability
and cost effectiveness of replacing diesel-powered school buses with
electric school buses. Over a three-year period, DEP must select 18
school districts and school bus contractors that operate in the
northern, central, and southern regions of New Jersey to participate.

Each year, DEP must award grants to the eligible participants for the
purchase or lease of electric school buses and associated charging
infrastructure. At least half of program participants and grant funding
must be located in a low-income, urban, or environmental justice
communities.

(Reference [Assembly Bill 1282, 2022](https://www.njleg.state.nj.us/))",ELEC,"<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>Assembly Bill 1282, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13030,VA,Vehicle Acquisition Total Cost of Ownership (TCO) Assessment Requirement,"By October 1, 2022, the Virginia Department of General Services (DGS)
must identify a publicly available TCO calculator to assess and compare
the total lifetime cost of purchasing, owning or leasing, and operating
light-duty internal combustion engine (ICE) vehicles and EVs. The
calculator must consider vehicle make, model, age, annual mileage,
lifespan, depreciation, and capital, maintenance, repair, and
infrastructure costs. The TCO calculator must be updated on an annual
basis to reflect current prices and vehicle models. Beginning January 1,
2023, DGS and all other state agencies must purchase or lease EVs
instead of ICE vehicles if the calculator indicates EVs have a lower
TCO. Beginning January 1, 2026, and triennially thereafter, DGS must
report estimated cost savings and emissions reductions as a result of
purchasing EVs instead of ICE vehicles. Emergency and law-enforcement
vehicles are exempt from this requirement.

(Reference [Senate Bill 575, 2022](https://lis.virginia.gov/000/sab.htm))",ELEC,"<a href = 'https://lis.virginia.gov/000/sab.htm' target = '_blank'>Senate Bill 575, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13031,LA,Electric Vehicle (EV) Task Force,"The Louisiana Senate Committee on Transportation, Highways, and Public
Works must convene an EV Task Force (Task Force) to study the economic
impact of EVs and recommend legislation to enhance the fiscal benefit of
EVs in Louisiana. In September 2022, the Task Force published a
[report](https://app.lla.state.la.us/publicreports.nsf/0/9bb512d80ca9db31862588b0007af368/$file/000ttfa.pdf?openelement&.7773098)
of their findings and recommendations.

(Reference [Senate Concurrent Resolution 46, 2022](https://legis.la.gov/legis/home.aspx))",ELEC,"<a href = 'https://legis.la.gov/legis/home.aspx' target = '_blank'>Senate Concurrent Resolution 46, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13034,US,Electric Vehicle (EV) Charging and Clean Transportation Grants,"The U.S. Department of Energy (DOE) provides grants for transportation
decarbonization research projects. Priority will be given to projects
that include:

-   Cost-effective deployment of EV charging for those without access to
    home charging;
-   Innovative solutions to improve mobility options for underserved
    communities;
-   Community engagement to accelerate clean transportation options in
    underserved communities;
-   Research and development to reduce EV battery size and cost,
    increase EV battery range, and decrease EV battery emissions;
-   Electrification of off-road and non-road vehicles, including
    agricultural, construction, rail, marine, and aviation;
-   Materials technologies to improve EV efficiency and affordability;
-   Use of the alternative fuels in commercial off-road vehicle
    technologies, including natural gas, hydrogen, and renewable
    propane;
-   Planning and development of medium- and heavy-duty EV charging and
    hydrogen fueling corridors and advanced engine and fuel technologies
    to improve fuel economy and reduce greenhouse gas emissions

Applicants must demonstrate how proposed projects will benefit
underserved communities that lack access to clean transportation
options.

(Reference [Public Law 109-58](https://www.congress.gov/public-laws/109th-congress) and [42 U.S. Code 16191](https://www.govinfo.gov/))",ELEC,<a href = 'https://www.congress.gov/public-laws/109th-congress' target = '_blank'>Public Law 109-58</a>,<a href = 'https://www.govinfo.gov/' target = '_blank'>42 U.S. Code 16191</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13038,US,Pre-Owned Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,"Beginning January 1, 2023, the Clean Vehicle Credit provides a tax
credit of up to \$4,000 for the purchase of a pre-owned EV or FCEV.
Eligible vehicles must be of a model year at least two years prior to
the year of purchase and may not have a purchase price above \$25,000.
Individuals with a gross annual income below the following thresholds
are eligible for the tax credit:

-   \$150,000 for joint filers

-   \$112,500 for head-of-household filers

-   \$75,000 for single filers

Only one tax credit may be claimed per vehicle. Individuals may not
claim more than one pre-owned vehicle tax credit in a three-year period.

(Reference [Public Law
117-169](https://www.congress.gov/public-laws/117th-congress))
",ELEC,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-169</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13039,US,Commercial Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,"Beginning January 1, 2023, a tax credit will be available to businesses
for the purchase of new EVs and FCEVs. Vehicles with a gross vehicle
weight rating (GVWR) below 14,000 pounds (lbs.) must have a battery
capacity of at least seven kilowatt-hours (kWh) and vehicles with a GVWR
above 14,000 lbs. must have a battery capacity of at least 15 kWh. The
tax credit amount is equal to the lesser of the following amounts:

-   15% of the vehicle purchase price for plug-in hybrid electric
    vehicles
-   30% of the vehicle purchase price for EVs and FCEVs
-   The incremental cost of the vehicle compared to an equivalent
    internal combustion engine vehicle

Maximum tax credits may not exceed \$7,500 for vehicles under 14,000
lbs. and \$40,000 for vehicles above 14,000 lbs. Businesses may not
combine this tax credit with the [Clean Vehicle Tax
Credit](https://afdc.energy.gov/laws/409).

(Reference [Public Law
117-169](https://www.congress.gov/public-laws/117th-congress))
",ELEC,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-169</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13059,LA,Electric Vehicle (EV) Fee,"In addition to standard vehicle registration fees, EV owners must pay an
annual fee of \$100 and plug-in hybrid electric vehicle owners must pay
an annual fee of \$60.

(Reference [Louisiana Revised Statutes 32:461](https://legis.la.gov/legis/home.aspx) and [House Bill 1031, 2022](https://legis.la.gov/legis/home.aspx))",ELEC,<a href = 'https://legis.la.gov/legis/home.aspx' target = '_blank'>Louisiana Revised Statutes 32:461</a>,"<a href = 'https://legis.la.gov/legis/home.aspx' target = '_blank'>House Bill 1031, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
13063,US,Heavy-Duty Zero Emission Vehicle (ZEV) and Infrastructure Grants,"By February 12, 2023, the U.S. Environmental Protection Agency must
create a grant program for heavy-duty ZEVs and associated
infrastructure. Grant award amounts vary and may cover up to 100% of
total project costs. Eligible project costs include:

-   The incremental cost of a Class 6 or 7 electric vehicle;
-   Capital, installation, operation, and maintenance costs of ZEV
    charging or refueling infrastructure;
-   Workforce development and training programs to support the
    maintenance, charging, fueling, and operation of ZEVs; and,
-   Planning and technical activities that support the adoption and
    deployment of ZEVs.

Eligible applicants include state governments, municipalities, tribal
governments, and non-profit school transportation associations.
Additional funding is available for projects located in [nonattainment
communities](https://www3.epa.gov/airquality/greenbook/ancl.html).

(Reference [Public Law 117-169](https://www.congress.gov/public-laws/117th-congress))",ELEC,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-169</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
